path,bytes,lines
src/components/ui/ErrorMessage.tsx,532,22
src/components/ui/avatar.tsx,1417,48
src/components/ui/alert-dialog.tsx,4449,139
src/components/ui/table-enhanced.tsx,2869,118
src/components/ui/sonner.tsx,857,28
src/components/chat/AIChatBubble.tsx,734,27
src/components/chat/AINAssistantTrigger.tsx,356,15
src/components/market/GoogleStyleListings.tsx,8876,239
src/components/lookup/ConditionSelectorSegmented.tsx,2186,60
src/components/lookup/scoring/BreakdownItem.tsx,1131,38
src/components/lookup/scoring/BreakdownList.tsx,664,22
src/components/lookup/scoring/ConfidenceScore.tsx,1320,46
src/components/lookup/scoring/VehicleScoreInfo.tsx,1128,46
src/components/lookup/VehicleScoring.tsx,2117,75
src/components/lookup/types/valuation.ts,621,29
src/components/lookup/VehicleInfoCard.tsx,2266,81
src/components/lookup/VehicleDetailsGrid.tsx,1632,44
src/components/lookup/VehicleHistory.tsx,2744,84
src/components/lookup/UnifiedLookupTabs.tsx,10360,273
src/components/lookup/form-parts/VehicleDetailsInputs.tsx,3543,112
src/components/lookup/form-parts/fields/FuelTypeSelect.tsx,2136,87
src/components/lookup/form-parts/UnifiedFollowUpQuestions.tsx,6968,203
src/components/lookup/form-parts/TrimSelector.tsx,1410,50
src/components/lookup/form-parts/VehicleFeatureSelect.tsx,1767,55
src/components/lookup/form-parts/EnhancedVehicleSelectorWithLogos.tsx,1945,79
src/components/lookup/form-parts/ConditionAndFuelInputs.tsx,3598,119
src/components/lookup/form-parts/FormSelect.tsx,1894,83
src/components/lookup/form-parts/EnhancedVehicleSelector.tsx,18164,463
src/components/lookup/form-parts/MakeAndModelSelector.tsx,3140,110
src/components/lookup/form-parts/ValuationFormActions.tsx,2947,102
src/components/lookup/form-parts/TitleStatusSection.tsx,2750,72
src/components/lookup/form-parts/AdditionalDetailsSection.tsx,3877,142
src/components/lookup/form-parts/VehicleConditionSlider.tsx,1747,63
src/components/lookup/index.ts,822,23
src/components/lookup/photo/PhotoLookupForm.tsx,3461,102
src/components/lookup/followup/FollowupStepManager.tsx,2575,80
src/components/lookup/followup/FollowupStep.tsx,7514,211
src/components/lookup/UnifiedPlateLookup.tsx,3216,104
src/components/lookup/forecast/ForecastMetrics.tsx,1082,38
src/components/lookup/forecast/ForecastTrendIndicator.tsx,1162,44
src/components/lookup/plate/PlateInfoCard.tsx,3099,104
src/components/stats/StatCard.tsx,1951,68
src/components/stats/AnimatedCounter.tsx,876,36
src/components/stats/index.ts,211,5
src/components/stats/StatsCard.tsx,1869,67
